run_id,timestamp,workload,strategy,repetition,build_time_seconds,image_size_mb,layer_count,startup_time_seconds,critical_vulnerabilities,high_vulnerabilities,medium_vulnerabilities,low_vulnerabilities,unknown_vulnerabilities,build_status,startup_status,security_scan_status,overall_status,notes
run_ca592d9e,2026-07-06T13:39:59,express,baseline,1,2.959,391.28,12,1.157,,,,,,PASS,PASS,SKIPPED,PASS,Successful build; TRIVY_NOT_INSTALLED
run_e192ea05,2026-07-06T13:40:07,express,baseline,2,1.562,391.28,12,1.094,,,,,,PASS,PASS,SKIPPED,PASS,Successful build; TRIVY_NOT_INSTALLED
run_f4739534,2026-07-06T13:40:14,express,baseline,3,1.434,391.28,12,1.117,,,,,,PASS,PASS,SKIPPED,PASS,Successful build; TRIVY_NOT_INSTALLED
run_22cf2a91,2026-07-06T13:40:21,express,baseline,4,1.74,391.28,12,1.156,,,,,,PASS,PASS,SKIPPED,PASS,Successful build; TRIVY_NOT_INSTALLED
run_df9f35ab,2026-07-06T13:40:28,express,baseline,5,1.654,391.28,12,1.113,,,,,,PASS,PASS,SKIPPED,PASS,Successful build; TRIVY_NOT_INSTALLED
run_2fe7d98f,2026-07-06T13:40:36,express,alpine,1,1.513,56.6,8,1.14,,,,,,PASS,PASS,SKIPPED,PASS,Successful build; TRIVY_NOT_INSTALLED
run_b46570d1,2026-07-06T13:40:43,express,alpine,2,1.677,56.6,8,1.116,,,,,,PASS,PASS,SKIPPED,PASS,Successful build; TRIVY_NOT_INSTALLED
run_1cbbdfb8,2026-07-06T13:40:50,express,alpine,3,1.567,56.6,8,1.147,,,,,,PASS,PASS,SKIPPED,PASS,Successful build; TRIVY_NOT_INSTALLED
run_f682509e,2026-07-06T13:40:57,express,alpine,4,1.511,56.6,8,1.135,,,,,,PASS,PASS,SKIPPED,PASS,Successful build; TRIVY_NOT_INSTALLED
run_e32d610d,2026-07-06T13:41:04,express,alpine,5,1.744,56.6,8,1.144,,,,,,PASS,PASS,SKIPPED,PASS,Successful build; TRIVY_NOT_INSTALLED
run_334fd010,2026-07-06T13:41:12,express,slim,1,1.697,78.03,9,1.107,,,,,,PASS,PASS,SKIPPED,PASS,Successful build; TRIVY_NOT_INSTALLED
run_f04715ab,2026-07-06T13:41:19,express,slim,2,1.466,78.03,9,1.117,,,,,,PASS,PASS,SKIPPED,PASS,Successful build; TRIVY_NOT_INSTALLED
run_5ec8554e,2026-07-06T13:41:26,express,slim,3,1.52,78.03,9,1.113,,,,,,PASS,PASS,SKIPPED,PASS,Successful build; TRIVY_NOT_INSTALLED
run_549c6b62,2026-07-06T13:41:33,express,slim,4,1.474,78.03,9,1.104,,,,,,PASS,PASS,SKIPPED,PASS,Successful build; TRIVY_NOT_INSTALLED
run_034dc1bf,2026-07-06T13:41:40,express,slim,5,1.445,78.03,9,1.109,,,,,,PASS,PASS,SKIPPED,PASS,Successful build; TRIVY_NOT_INSTALLED
run_b5224b80,2026-07-06T13:41:47,express,multistage,1,4.519,390.08,10,1.139,,,,,,PASS,PASS,SKIPPED,PASS,Successful build; TRIVY_NOT_INSTALLED
run_53009f6b,2026-07-06T13:41:57,express,multistage,2,1.542,390.08,10,1.122,,,,,,PASS,PASS,SKIPPED,PASS,Successful build; TRIVY_NOT_INSTALLED
run_954ba5bc,2026-07-06T13:42:04,express,multistage,3,1.641,390.08,10,1.12,,,,,,PASS,PASS,SKIPPED,PASS,Successful build; TRIVY_NOT_INSTALLED
